"decimalLatitude","decimalLongitude","species"
-34.05395,151.147339,"Melaleuca quinquenervia"
-34.046586,150.66742,"Melaleuca quinquenervia"
-34.039647,151.157541,"Melaleuca quinquenervia"
-34.03963,151.157552,"Melaleuca quinquenervia"
-34.03957,150.745834,"Melaleuca quinquenervia"
-34.038843,151.16133,"Melaleuca quinquenervia"
-34.038646,150.692519,"Melaleuca quinquenervia"
-34.037017,151.118014,"Melaleuca quinquenervia"
-34.035259,151.121428,"Melaleuca quinquenervia"
-34.035259,151.121428,"Melaleuca quinquenervia"
-34.035259,151.121428,"Melaleuca quinquenervia"
-34.035259,151.121428,"Melaleuca quinquenervia"
-34.03472,151.11922,"Melaleuca quinquenervia"
-34.033388,151.059308,"Melaleuca quinquenervia"
-34.032841,151.058804,"Melaleuca quinquenervia"
-34.032373,151.173503,"Melaleuca quinquenervia"
-34.030482,151.131568,"Melaleuca quinquenervia"
-34.028879,150.82478,"Melaleuca quinquenervia"
-34.028283,150.809903,"Melaleuca quinquenervia"
-34.025006,151.200419,"Melaleuca quinquenervia"
-34.025,151.107222,"Melaleuca quinquenervia"
-34.024796,151.118259,"Melaleuca quinquenervia"
-34.024505,151.200901,"Melaleuca quinquenervia"
-34.0243,151.201413,"Melaleuca quinquenervia"
-34.024157,151.201003,"Melaleuca quinquenervia"
-34.023966,151.201424,"Melaleuca quinquenervia"
-34.023672,151.20089,"Melaleuca quinquenervia"
-34.023642,151.200658,"Melaleuca quinquenervia"
-34.023642,151.200794,"Melaleuca quinquenervia"
-34.023639,151.200838,"Melaleuca quinquenervia"
-34.023612,151.200768,"Melaleuca quinquenervia"
-34.022757,151.199267,"Melaleuca quinquenervia"
-34.022745,151.199292,"Melaleuca quinquenervia"
-34.022725,151.199214,"Melaleuca quinquenervia"
-34.022718,151.199262,"Melaleuca quinquenervia"
-34.022688,151.199232,"Melaleuca quinquenervia"
-34.022686,151.19922,"Melaleuca quinquenervia"
-34.02268,151.199102,"Melaleuca quinquenervia"
-34.022666,151.199264,"Melaleuca quinquenervia"
-34.022654,151.199103,"Melaleuca quinquenervia"
-34.022649,151.199272,"Melaleuca quinquenervia"
-34.022643,151.199194,"Melaleuca quinquenervia"
-34.022635,151.199006,"Melaleuca quinquenervia"
-34.022611,151.199448,"Melaleuca quinquenervia"
-34.022589,151.199082,"Melaleuca quinquenervia"
-34.022585,151.199231,"Melaleuca quinquenervia"
-34.022569,151.199194,"Melaleuca quinquenervia"
-34.022567,151.199317,"Melaleuca quinquenervia"
-34.02255,151.199429,"Melaleuca quinquenervia"
-34.022533,151.199563,"Melaleuca quinquenervia"
-34.02251,151.199598,"Melaleuca quinquenervia"
-34.022466,151.199713,"Melaleuca quinquenervia"
-34.022448,151.199034,"Melaleuca quinquenervia"
-34.022373,151.199655,"Melaleuca quinquenervia"
-34.022369,151.198358,"Melaleuca quinquenervia"
-34.022328,151.198286,"Melaleuca quinquenervia"
-34.022325,151.198297,"Melaleuca quinquenervia"
-34.022275,151.198778,"Melaleuca quinquenervia"
-34.022271,151.199638,"Melaleuca quinquenervia"
-34.022231,151.197884,"Melaleuca quinquenervia"
-34.022216,151.197902,"Melaleuca quinquenervia"
-34.022202,151.198982,"Melaleuca quinquenervia"
-34.022196,151.198177,"Melaleuca quinquenervia"
-34.022131,151.198927,"Melaleuca quinquenervia"
-34.021989,151.199539,"Melaleuca quinquenervia"
-34.021985,151.199505,"Melaleuca quinquenervia"
-34.021884,151.19885,"Melaleuca quinquenervia"
-34.021745,151.19938,"Melaleuca quinquenervia"
-34.015214,150.766275,"Melaleuca quinquenervia"
-34.0125,151.049322,"Melaleuca quinquenervia"
-34.01089,151.06691,"Melaleuca quinquenervia"
-34.010242,151.053467,"Melaleuca quinquenervia"
-34.009722,151.057778,"Melaleuca quinquenervia"
-34.008691,150.794872,"Melaleuca quinquenervia"
-34.007819,151.047032,"Melaleuca quinquenervia"
-34.007527,151.071495,"Melaleuca quinquenervia"
-34.007179,151.063084,"Melaleuca quinquenervia"
-34.001083,151.076732,"Melaleuca quinquenervia"
-34.000912,151.076733,"Melaleuca quinquenervia"
-33.989385,150.845131,"Melaleuca quinquenervia"
-33.988897,150.995452,"Melaleuca quinquenervia"
-33.982738,151.2426,"Melaleuca quinquenervia"
-33.982656,151.243608,"Melaleuca quinquenervia"
-33.9798,151.09612,"Melaleuca quinquenervia"
-33.979609,151.029954,"Melaleuca quinquenervia"
-33.979311,151.030181,"Melaleuca quinquenervia"
-33.979112,151.029294,"Melaleuca quinquenervia"
-33.979024,151.237077,"Melaleuca quinquenervia"
-33.97755,151.011397,"Melaleuca quinquenervia"
-33.976946,151.143643,"Melaleuca quinquenervia"
-33.97617,151.24947,"Melaleuca quinquenervia"
-33.975999,151.141048,"Melaleuca quinquenervia"
-33.975772,151.142792,"Melaleuca quinquenervia"
-33.973697,151.005009,"Melaleuca quinquenervia"
-33.973212,150.998172,"Melaleuca quinquenervia"
-33.969865,151.237009,"Melaleuca quinquenervia"
-33.96836,150.88612,"Melaleuca quinquenervia"
-33.966667,150.766667,"Melaleuca quinquenervia"
-33.963292,151.250655,"Melaleuca quinquenervia"
-33.962379,151.14618,"Melaleuca quinquenervia"
-33.961944,151.145833,"Melaleuca quinquenervia"
-33.961793,151.253578,"Melaleuca quinquenervia"
-33.961573,151.251822,"Melaleuca quinquenervia"
-33.958401,151.060524,"Melaleuca quinquenervia"
-33.957774,150.822605,"Melaleuca quinquenervia"
-33.957621,151.216675,"Melaleuca quinquenervia"
-33.95734,151.204274,"Melaleuca quinquenervia"
-33.957078,151.202697,"Melaleuca quinquenervia"
-33.956782,151.2025,"Melaleuca quinquenervia"
-33.956773,151.202399,"Melaleuca quinquenervia"
-33.956505,151.062439,"Melaleuca quinquenervia"
-33.953218,151.217469,"Melaleuca quinquenervia"
-33.951799,150.977953,"Melaleuca quinquenervia"
-33.950854,151.05205,"Melaleuca quinquenervia"
-33.95,151.2,"Melaleuca quinquenervia"
-33.94965,151.15556,"Melaleuca quinquenervia"
-33.949131,151.162167,"Melaleuca quinquenervia"
-33.946399,151.171765,"Melaleuca quinquenervia"
-33.944586,151.152109,"Melaleuca quinquenervia"
-33.943648,151.221493,"Melaleuca quinquenervia"
-33.943644,151.221489,"Melaleuca quinquenervia"
-33.943531,151.222416,"Melaleuca quinquenervia"
-33.943432,151.222413,"Melaleuca quinquenervia"
-33.943429,151.154935,"Melaleuca quinquenervia"
-33.942941,151.221526,"Melaleuca quinquenervia"
-33.942939,151.221521,"Melaleuca quinquenervia"
-33.941837,150.980026,"Melaleuca quinquenervia"
-33.94173,151.190776,"Melaleuca quinquenervia"
-33.940414,151.153878,"Melaleuca quinquenervia"
-33.940409,151.154693,"Melaleuca quinquenervia"
-33.940403,151.153873,"Melaleuca quinquenervia"
-33.940354,150.879387,"Melaleuca quinquenervia"
-33.940208,151.154083,"Melaleuca quinquenervia"
-33.940193,151.154332,"Melaleuca quinquenervia"
-33.940188,151.154068,"Melaleuca quinquenervia"
-33.939861,151.084806,"Melaleuca quinquenervia"
-33.939618,151.154652,"Melaleuca quinquenervia"
-33.939594,151.154648,"Melaleuca quinquenervia"
-33.939468,151.222606,"Melaleuca quinquenervia"
-33.939467,151.222604,"Melaleuca quinquenervia"
-33.93858,151.20621,"Melaleuca quinquenervia"
-33.938437,151.221857,"Melaleuca quinquenervia"
-33.938314,151.197068,"Melaleuca quinquenervia"
-33.937936,150.926962,"Melaleuca quinquenervia"
-33.93791,151.041047,"Melaleuca quinquenervia"
-33.937904,151.21118,"Melaleuca quinquenervia"
-33.937901,151.211181,"Melaleuca quinquenervia"
-33.93776,151.196415,"Melaleuca quinquenervia"
-33.93729,151.201519,"Melaleuca quinquenervia"
-33.937286,151.210889,"Melaleuca quinquenervia"
-33.937286,151.21089,"Melaleuca quinquenervia"
-33.937286,151.21089,"Melaleuca quinquenervia"
-33.937271,151.201196,"Melaleuca quinquenervia"
-33.93727,151.201203,"Melaleuca quinquenervia"
-33.937231,151.199433,"Melaleuca quinquenervia"
-33.937227,151.199434,"Melaleuca quinquenervia"
-33.937122,151.200694,"Melaleuca quinquenervia"
-33.937045,151.199892,"Melaleuca quinquenervia"
-33.937045,151.199888,"Melaleuca quinquenervia"
-33.937031,151.207497,"Melaleuca quinquenervia"
-33.937029,151.207498,"Melaleuca quinquenervia"
-33.937012,151.193767,"Melaleuca quinquenervia"
-33.93686,151.205424,"Melaleuca quinquenervia"
-33.936756,151.205179,"Melaleuca quinquenervia"
-33.936752,151.205178,"Melaleuca quinquenervia"
-33.936708,151.224501,"Melaleuca quinquenervia"
-33.936703,151.224489,"Melaleuca quinquenervia"
-33.936484,151.207801,"Melaleuca quinquenervia"
-33.936481,151.207805,"Melaleuca quinquenervia"
-33.936432,151.200842,"Melaleuca quinquenervia"
-33.936426,151.208765,"Melaleuca quinquenervia"
-33.936418,151.200836,"Melaleuca quinquenervia"
-33.936416,151.208779,"Melaleuca quinquenervia"
-33.936391,151.223144,"Melaleuca quinquenervia"
-33.936389,151.223148,"Melaleuca quinquenervia"
-33.936373,151.031151,"Melaleuca quinquenervia"
-33.936323,151.198859,"Melaleuca quinquenervia"
-33.936323,151.198859,"Melaleuca quinquenervia"
-33.935716,151.208289,"Melaleuca quinquenervia"
-33.935572,151.222625,"Melaleuca quinquenervia"
-33.934166,151.218939,"Melaleuca quinquenervia"
-33.934166,151.218942,"Melaleuca quinquenervia"
-33.93361,151.133294,"Melaleuca quinquenervia"
-33.933291,150.97841,"Melaleuca quinquenervia"
-33.932598,151.251084,"Melaleuca quinquenervia"
-33.932598,151.251084,"Melaleuca quinquenervia"
-33.931833,150.860034,"Melaleuca quinquenervia"
-33.931801,151.218772,"Melaleuca quinquenervia"
-33.931797,151.218767,"Melaleuca quinquenervia"
-33.931156,151.219726,"Melaleuca quinquenervia"
-33.931155,151.219732,"Melaleuca quinquenervia"
-33.930751,151.217257,"Melaleuca quinquenervia"
-33.930749,151.217256,"Melaleuca quinquenervia"
-33.930082,151.218396,"Melaleuca quinquenervia"
-33.930078,151.218395,"Melaleuca quinquenervia"
-33.929833,151.154322,"Melaleuca quinquenervia"
-33.929517,151.215466,"Melaleuca quinquenervia"
-33.929514,151.215467,"Melaleuca quinquenervia"
-33.929369,151.21959,"Melaleuca quinquenervia"
-33.929364,151.219589,"Melaleuca quinquenervia"
-33.928918,151.218827,"Melaleuca quinquenervia"
-33.928916,151.218832,"Melaleuca quinquenervia"
-33.928765,151.2196,"Melaleuca quinquenervia"
-33.928178,151.192947,"Melaleuca quinquenervia"
-33.927908,151.218982,"Melaleuca quinquenervia"
-33.927895,151.218989,"Melaleuca quinquenervia"
-33.927382,151.21815,"Melaleuca quinquenervia"
-33.927361,151.218161,"Melaleuca quinquenervia"
-33.927073,151.218388,"Melaleuca quinquenervia"
-33.926829,151.219773,"Melaleuca quinquenervia"
-33.926822,151.219788,"Melaleuca quinquenervia"
-33.926647,151.21933,"Melaleuca quinquenervia"
-33.92593,151.2212,"Melaleuca quinquenervia"
-33.925389,151.15558,"Melaleuca quinquenervia"
-33.924683,151.23458,"Melaleuca quinquenervia"
-33.923309,151.002932,"Melaleuca quinquenervia"
-33.922451,150.940293,"Melaleuca quinquenervia"
-33.922348,151.155039,"Melaleuca quinquenervia"
-33.921935,150.937371,"Melaleuca quinquenervia"
-33.9215,150.937222,"Melaleuca quinquenervia"
-33.920972,150.90393,"Melaleuca quinquenervia"
-33.919614,150.938378,"Melaleuca quinquenervia"
-33.919333,151.175663,"Melaleuca quinquenervia"
-33.91858,151.182016,"Melaleuca quinquenervia"
-33.918112,150.944135,"Melaleuca quinquenervia"
-33.917575,151.035568,"Melaleuca quinquenervia"
-33.916709,151.078032,"Melaleuca quinquenervia"
-33.916608,150.942133,"Melaleuca quinquenervia"
-33.916378,151.129681,"Melaleuca quinquenervia"
-33.916248,151.131458,"Melaleuca quinquenervia"
-33.915088,151.251155,"Melaleuca quinquenervia"
-33.914995,151.124998,"Melaleuca quinquenervia"
-33.914614,150.948666,"Melaleuca quinquenervia"
-33.914187,151.184302,"Melaleuca quinquenervia"
-33.913889,151.140278,"Melaleuca quinquenervia"
-33.913767,151.140018,"Melaleuca quinquenervia"
-33.913745,151.183197,"Melaleuca quinquenervia"
-33.913259,151.18333,"Melaleuca quinquenervia"
-33.913246,151.133575,"Melaleuca quinquenervia"
-33.913111,151.024419,"Melaleuca quinquenervia"
-33.912606,151.034377,"Melaleuca quinquenervia"
-33.912078,151.183767,"Melaleuca quinquenervia"
-33.911003,151.199837,"Melaleuca quinquenervia"
-33.909807,150.929175,"Melaleuca quinquenervia"
-33.909305,151.18297,"Melaleuca quinquenervia"
-33.909001,151.182855,"Melaleuca quinquenervia"
-33.908996,150.930449,"Melaleuca quinquenervia"
-33.907797,151.181572,"Melaleuca quinquenervia"
-33.907237,150.924462,"Melaleuca quinquenervia"
-33.907179,151.184685,"Melaleuca quinquenervia"
-33.906745,151.240256,"Melaleuca quinquenervia"
-33.906572,151.227098,"Melaleuca quinquenervia"
-33.906059,151.14026,"Melaleuca quinquenervia"
-33.905337,150.940245,"Melaleuca quinquenervia"
-33.905337,150.940245,"Melaleuca quinquenervia"
-33.905179,151.038241,"Melaleuca quinquenervia"
-33.904785,151.228277,"Melaleuca quinquenervia"
-33.904543,151.038029,"Melaleuca quinquenervia"
-33.904364,151.127046,"Melaleuca quinquenervia"
-33.903908,150.942602,"Melaleuca quinquenervia"
-33.903847,151.229412,"Melaleuca quinquenervia"
-33.903691,151.228966,"Melaleuca quinquenervia"
-33.90354,151.230012,"Melaleuca quinquenervia"
-33.903503,151.229142,"Melaleuca quinquenervia"
-33.902903,151.256109,"Melaleuca quinquenervia"
-33.902767,150.942845,"Melaleuca quinquenervia"
-33.902238,151.093005,"Melaleuca quinquenervia"
-33.901797,151.2379,"Melaleuca quinquenervia"
-33.901712,151.077878,"Melaleuca quinquenervia"
-33.901111,151.233611,"Melaleuca quinquenervia"
-33.900757,151.234695,"Melaleuca quinquenervia"
-33.900528,151.234633,"Melaleuca quinquenervia"
-33.900437,151.233995,"Melaleuca quinquenervia"
-33.900312,151.237284,"Melaleuca quinquenervia"
-33.900283,151.225729,"Melaleuca quinquenervia"
-33.900141,151.235374,"Melaleuca quinquenervia"
-33.900057,151.236409,"Melaleuca quinquenervia"
-33.900002,151.229996,"Melaleuca quinquenervia"
-33.9,151.27,"Melaleuca quinquenervia"
-33.89985,151.237023,"Melaleuca quinquenervia"
-33.899812,151.236254,"Melaleuca quinquenervia"
-33.899812,151.236254,"Melaleuca quinquenervia"
-33.899767,151.23626,"Melaleuca quinquenervia"
-33.899767,151.23626,"Melaleuca quinquenervia"
-33.899747,151.239508,"Melaleuca quinquenervia"
-33.899382,151.229915,"Melaleuca quinquenervia"
-33.899267,151.238571,"Melaleuca quinquenervia"
-33.899237,151.237411,"Melaleuca quinquenervia"
-33.89915,151.236497,"Melaleuca quinquenervia"
-33.899067,151.236953,"Melaleuca quinquenervia"
-33.899006,151.237411,"Melaleuca quinquenervia"
-33.898976,151.079252,"Melaleuca quinquenervia"
-33.898816,151.238252,"Melaleuca quinquenervia"
-33.898816,151.238252,"Melaleuca quinquenervia"
-33.898717,151.236474,"Melaleuca quinquenervia"
-33.898225,151.088038,"Melaleuca quinquenervia"
-33.898148,151.236681,"Melaleuca quinquenervia"
-33.897777,151.232587,"Melaleuca quinquenervia"
-33.897654,151.23034,"Melaleuca quinquenervia"
-33.89763,151.235678,"Melaleuca quinquenervia"
-33.897626,151.227632,"Melaleuca quinquenervia"
-33.897577,151.189982,"Melaleuca quinquenervia"
-33.897577,151.189982,"Melaleuca quinquenervia"
-33.897341,151.21309,"Melaleuca quinquenervia"
-33.896561,151.241394,"Melaleuca quinquenervia"
-33.895341,151.198425,"Melaleuca quinquenervia"
