"decimalLatitude","decimalLongitude","species"
-37.73,149.27694,"Leptospermum trinervium"
-37.72971,148.96203,"Leptospermum trinervium"
-37.72938,148.96244,"Leptospermum trinervium"
-37.72889,149.37333,"Leptospermum trinervium"
-37.72889,149.37333,"Leptospermum trinervium"
-37.72889,149.17333,"Leptospermum trinervium"
-37.72889,149.37333,"Leptospermum trinervium"
-37.72844,148.96419,"Leptospermum trinervium"
-37.72833,149.17972,"Leptospermum trinervium"
-37.72833,149.195,"Leptospermum trinervium"
-37.72333,148.97639,"Leptospermum trinervium"
-37.72294,148.97643,"Leptospermum trinervium"
-37.72056,149,"Leptospermum trinervium"
-37.71975,149.00385,"Leptospermum trinervium"
-37.71778,149.19417,"Leptospermum trinervium"
-37.71306,149.16583,"Leptospermum trinervium"
-37.71222,149.22056,"Leptospermum trinervium"
-37.71222,149.22056,"Leptospermum trinervium"
-37.71222,149.22056,"Leptospermum trinervium"
-37.71118,149.02,"Leptospermum trinervium"
-37.71056,149.15889,"Leptospermum trinervium"
-37.70975,149.02276,"Leptospermum trinervium"
-37.70917,149.55361,"Leptospermum trinervium"
-37.70667,149.05278,"Leptospermum trinervium"
-37.70667,149.53444,"Leptospermum trinervium"
-37.70528,149.17056,"Leptospermum trinervium"
-37.70395,149.03334,"Leptospermum trinervium"
-37.70389,148.9,"Leptospermum trinervium"
-37.70291,148.83358,"Leptospermum trinervium"
-37.70111,148.89444,"Leptospermum trinervium"
-37.6995,149.03842,"Leptospermum trinervium"
-37.69833,149.36778,"Leptospermum trinervium"
-37.69833,149.315,"Leptospermum trinervium"
-37.69833,149.315,"Leptospermum trinervium"
-37.69833,149.315,"Leptospermum trinervium"
-37.69776,149.03893,"Leptospermum trinervium"
-37.695,149.20889,"Leptospermum trinervium"
-37.694962,148.062347,"Leptospermum trinervium"
-37.6946,148.7234,"Leptospermum trinervium"
-37.6946,148.7234,"Leptospermum trinervium"
-37.69459,148.72332,"Leptospermum trinervium"
-37.69444,148.72972,"Leptospermum trinervium"
-37.69444,149.20528,"Leptospermum trinervium"
-37.69444,149.21028,"Leptospermum trinervium"
-37.69444,149.20528,"Leptospermum trinervium"
-37.69389,149.50444,"Leptospermum trinervium"
