"decimalLatitude","decimalLongitude","species"
-28.635966,153.374503,"Decaspermum humile"
-28.635346,153.370245,"Decaspermum humile"
-28.633333,153.316667,"Decaspermum humile"
-28.633333,153.316667,"Decaspermum humile"
-28.633333,153.283333,"Decaspermum humile"
-28.633333,153.283333,"Decaspermum humile"
-28.616667,153.4,"Decaspermum humile"
-28.616667,153.316667,"Decaspermum humile"
-28.616667,153.316667,"Decaspermum humile"
-28.616667,152.416667,"Decaspermum humile"
-28.616653,153.431079,"Decaspermum humile"
-28.616,153.392,"Decaspermum humile"
-28.605462,153.367813,"Decaspermum humile"
-28.603594,152.713317,"Decaspermum humile"
-28.602062,153.373122,"Decaspermum humile"
-28.6,153.35,"Decaspermum humile"
-28.5833,153.35,"Decaspermum humile"
-28.5833,153.35,"Decaspermum humile"
-28.5833,153.35,"Decaspermum humile"
-28.58173,153.417745,"Decaspermum humile"
-28.58173,153.417745,"Decaspermum humile"
-28.58173,153.417745,"Decaspermum humile"
-28.580556,153.580556,"Decaspermum humile"
-28.570675,153.31485,"Decaspermum humile"
-28.57045,153.31429,"Decaspermum humile"
-28.568392,153.361053,"Decaspermum humile"
-28.567992,153.309037,"Decaspermum humile"
-28.560117,153.314017,"Decaspermum humile"
-28.559063,153.535818,"Decaspermum humile"
-28.557518,153.343555,"Decaspermum humile"
-28.556631,153.337418,"Decaspermum humile"
-28.5553,153.485,"Decaspermum humile"
-28.551982,153.407183,"Decaspermum humile"
-28.551193,153.263876,"Decaspermum humile"
-28.550743,153.489706,"Decaspermum humile"
-28.55,153.3167,"Decaspermum humile"
-28.549,153.432,"Decaspermum humile"
-28.542262,153.291405,"Decaspermum humile"
-28.541379,153.293568,"Decaspermum humile"
-28.540717,153.297933,"Decaspermum humile"
-28.540326,153.297749,"Decaspermum humile"
-28.529013,153.216397,"Decaspermum humile"
-28.523332,153.254609,"Decaspermum humile"
-28.522187,153.35585,"Decaspermum humile"
-28.521303,153.384318,"Decaspermum humile"
-28.520709,153.276907,"Decaspermum humile"
-28.518454,153.23656,"Decaspermum humile"
-28.516667,153.166667,"Decaspermum humile"
-28.516667,153.166667,"Decaspermum humile"
-28.516034,153.526615,"Decaspermum humile"
